sno,Company,Layoffs,Year,Country,WorkForce (%)
1,Accenture,19000,2023,Globally,2.5
12,Google,12000,2023,Globally,6
15,Meta,11000,2022,Globally,13
11,Meta,10000,2023,Globally,
13,Microsoft,10000,2023,Globally,5
16,Amazon,10000,2022,Globally,3
14,Amazon,9000,2023,Globally,
27,Ericsson,8500,2023,Globally,8
10,Amazon,8000,2023,Globally,2
28,Salesforce,8000,2023,Globally,10
41,Disney,7000,2023,Globally,
17,Dell,6650,2023,Globally,5
18,Cisco,4100,2022,Globally,5
19,IBM,3900,2023,Globally,2
20,Twitter,3700,2022,Globally,50
21,SAP,3000,2023,Globally,3
26,Seagate,3000,2023,Globally,
22,Byju's,2500,2022,India,5
47,Indeed,2200,2023,Globally,15
38,Blinkit,1600,2022,India,
2,Byju's,1500,2023,India,
3,Unacademy,1500,2023,India,
4,Ola,1400,2023,India,
5,Vedantu,1109,2022,India,
7,Cars24,600,2023,India,
8,Oyo,600,2023,India,
9,Sharechat,600,2023,India,
31,PhableCare,600,2023,India,70
49,Spotify,600,2023,Globally,6
42,Wipro,452,2023,India,
48,Twitch,400,2023,Globally,
6,Swiggy,380,2023,India,6
30,SAP Labs,300,2023,India,
50,Pristyn Care,300,2023,India,15
36,Swiggy,250,2022,India,3
37,Twitter,240,2023,Globally,
46,Medibuddy,200,2023,India,8
45,Exotel,142,2023,India,15
44,Captain Fresh,123,2023,India,
23,Upgrad,120,2023,India,
40,Skit.AI,115,2023,India,
24,Livspace,100,2023,India,2
39,Zomato,100,2022,India,
43,Cashfree Payments,100,2023,India,
33,FarEye,90,2023,India,12
29,Dukaan,56,2023,India,30
32,Pocket Aces,50,2023,India,25
34,Relevel,40,2023,India,20
35,Bounce,40,2023,India,5
25,Smallcase,15,2023,India,4
