Sl. No. ,Company,Layoffs,Year,Country,WorkForce (%)
1,Accenture,19000,2023,Globally,2.5
2,Byju's,1500,2023,India,
3,Unacademy,1500,2023,India,
4,Ola,1400,2023,India,
5,Vedantu,1109,2022,India,
6,Swiggy,380,2023,India,6
7,Cars24,600,2023,India,
8,Oyo,600,2023,India,
9,Sharechat,600,2023,India,
10,Amazon,8000,2023,Globally,2
11,Meta,10000,2023,Globally,
12,Google,12000,2023,Globally,6
13,Microsoft,10000,2023,Globally,5
14,Amazon,9000,2023,Globally,
15,Meta,11000,2022,Globally,13
16,Amazon,10000,2022,Globally,3
17,Dell,6650,2023,Globally,5
18,Cisco,4100,2022,Globally,5
19,IBM,3900,2023,Globally,2
20,Twitter,3700,2022,Globally,50
21,SAP,3000,2023,Globally,3
22,Byju's,2500,2022,India,5
23,Upgrad,120,2023,India,
24,Livspace,100,2023,India,2
25,Smallcase,15,2023,India,4
26,Seagate,3000,2023,Globally,
27,Ericsson,8500,2023,Globally,8
28,Salesforce,8000,2023,Globally,10
29,Dukaan,56,2023,India,30
30,SAP Labs,300,2023,India,
31,PhableCare,600,2023,India,70
32,Pocket Aces,50,2023,India,25
33,FarEye,90,2023,India,12
34,Relevel,40,2023,India,20
35,Bounce,40,2023,India,5
36,Swiggy,250,2022,India,3
37,Twitter,240,2023,Globally,
38,Blinkit,1600,2022,India,
39,Zomato,100,2022,India,
40,Skit.AI,115,2023,India,
41,Dunzo,,2023,India,3
42,Wipro,452,2023,India,
43,Cashfree Payments,100,2023,India,
44,Captain Fresh,123,2023,India,
45,Exotel,142,2023,India,15
46,Medibuddy,200,2023,India,8
47,Indeed,2200,2023,Globally,15
48,Twitch,400,2023,Globally,
49,Spotify,600,2023,Globally,6
50,Pristyn Care,300,2023,India,15
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
